item,value,time,day,date
t1stone,10,14:54:26,Monday,2022-02-28
t1stone,10,14:54:42,Monday,2022-02-28
t1stone,11,14:54:55,Monday,2022-02-28
t1stone,12,14:55:41,Monday,2022-02-28
t1stone,12,14:55:50,Monday,2022-02-28
t1stone,13,14:58:33,Monday,2022-02-28
t1stone,13,15:00:01,Monday,2022-02-28
t1stone,14,15:00:10,Monday,2022-02-28
t1stone,17,15:00:20,Monday,2022-02-28
t1stone,17,16:44:09,Monday,2022-02-28
t1stone,17,16:44:15,Monday,2022-02-28
t1stone,17,17:44:15,Monday,2022-02-28
t1stone,17,17:44:15,Monday,2022-02-28
t1stone,16,18:44:15,Monday,2022-02-28
t1stone,14,19:44:15,Monday,2022-02-28
t1stone,14,20:44:15,Monday,2022-02-28
t1stone,13,21:44:15,Monday,2022-02-28
t1stone,13,21:44:15,Monday,2022-02-28
t1stone,12,23:44:15,Monday,2022-02-28
